,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
1984,F/X2,PG-13,Action,1991,5.9,9000.0,Richard Franklin,Robert T. Megginson,Bryan Brown,108.0,1990s,50.0,39.0,Orion Pictures
1986,Mortal Thoughts,R,Mystery,1991,5.7,8400.0,Alan Rudolph,William Reilly,Demi Moore,103.0,1990s,44.0,19.0,Columbia Pictures
1987,Another You,R,Comedy,1991,5.4,3700.0,Maurice Phillips,Ziggy Steinberg,Richard Pryor,98.0,1990s,7.0,40.0,TriStar Pictures
1988,For the Boys,R,Comedy,1991,6.4,5300.0,Mark Rydell,Neal Jimenez,Bette Midler,138.0,1990s,55.0,94.0,All Girl Productions
1989,Beastmaster 2: Through the Portal of Time,PG-13,Action,1991,4.1,3000.0,Sylvio Tabet,Andre Norton,Marc Singer,107.0,1990s,2.0,14.0,Les Films 21
1991,Eve of Destruction,R,Action,1991,4.9,2100.0,Duncan Gibbins,Duncan Gibbins,Gregory Hines,99.0,1990s,13.0,31.0,Nelson Entertainment
1992,A Rage in Harlem,R,Comedy,1991,5.9,2000.0,Bill Duke,Chester Himes,Forest Whitaker,115.0,1990s,25.0,19.0,Palace Pictures
1996,The Super,R,Comedy,1991,5.6,5400.0,Rod Daniel,Sam Simon,Joe Pesci,95.0,1990s,26.0,52.0,Largo Entertainment
1998,At Play in the Fields of the Lord,R,Drama,1991,6.8,3100.0,Hector Babenco,Peter Matthiessen,Tom Berenger,189.0,1990s,3.0,85.0,The Saul Zaentz Company
1999,True Colors,R,Drama,1991,6.3,5000.0,Herbert Ross,Kevin Wade,John Cusack,111.0,1990s,1.0,47.0,Paramount Pictures
2001,A Kiss Before Dying,R,Crime,1991,5.7,5100.0,James Dearden,Ira Levin,Matt Dillon,94.0,1990s,36.0,35.0,Universal Pictures
2007,Bingo,PG,Adventure,1991,4.9,2700.0,Matthew Robbins,Jim Strain,Cindy Williams,89.0,1990s,20.0,24.0,TriStar Pictures
2009,Body Parts,R,Horror,1991,5.6,4100.0,Eric Red,Pierre Boileau,Jeff Fahey,88.0,1990s,22.0,24.0,Paramount Pictures
2010,One Good Cop,R,Action,1991,5.9,3900.0,Heywood Gould,Heywood Gould,Michael Keaton,114.0,1990s,27.0,9.0,Hollywood Pictures
2018,Once Around,R,Comedy,1991,6.5,4100.0,Lasse Hallström,Malia Scotch Marmo,Richard Dreyfuss,115.0,1990s,35.0,38.0,Cinecom Entertainment Group
2020,The Taking of Beverly Hills,R,Action,1991,5.1,1100.0,Sidney J. Furie,Sidney J. Furie,Ken Wahl,96.0,1990s,2.0,45.0,Nelson Entertainment
2021,Run,R,Action,1991,6.2,2600.0,Geoff Burrowes,Dennis Shryack,Patrick Dempsey,91.0,1990s,10.0,38.0,Hollywood Pictures
2024,Company Business,PG-13,Action,1991,5.6,2600.0,Nicholas Meyer,Nicholas Meyer,Gene Hackman,98.0,1990s,4.0,42.0,Pathé
2029,Liebestraum,R,Mystery,1991,5.9,1500.0,Mike Figgis,Mike Figgis,Kevin Anderson,112.0,1990s,0.0,16.0,Initial Entertainment Group (IEG)
2031,Closet Land,R,Drama,1991,7.1,2700.0,Radha Bharadwaj,Radha Bharadwaj,Madeleine Stowe,89.0,1990s,1.0,9.0,Imagine Entertainment
2036,Late for Dinner,PG,Drama,1991,6.4,1700.0,W.D. Richter,Mark Andrus,Peter Berg,99.0,1990s,21.0,33.0,Castle Rock Entertainment
2044,Basic Instinct,R,Drama,1992,7.0,186000.0,Paul Verhoeven,Joe Eszterhas,Michael Douglas,127.0,1990s,808.0,112.0,Carolco
2045,Candyman,R,Horror,1992,6.6,74000.0,Bernard Rose,Clive Barker,Virginia Madsen,99.0,1990s,59.0,14.0,Candyman Films
2046,My Cousin Vinny,R,Comedy,1992,7.6,112000.0,Jonathan Lynn,Dale Launer,Joe Pesci,120.0,1990s,147.0,25.0,Twentieth Century Fox
2047,The Last of the Mohicans,R,Action,1992,7.7,156000.0,Michael Mann,James Fenimore Cooper,Daniel Day-Lewis,112.0,1990s,173.0,92.0,Morgan Creek Entertainment
2048,Dracula,R,Horror,1992,7.4,199000.0,Francis Ford Coppola,Bram Stoker,Gary Oldman,128.0,1990s,494.0,92.0,American Zoetrope
2049,Unforgiven,R,Drama,1992,8.2,385000.0,Clint Eastwood,David Webb Peoples,Clint Eastwood,130.0,1990s,364.0,33.0,Warner Brothers
2050,A Few Good Men,R,Drama,1992,7.7,242000.0,Rob Reiner,Aaron Sorkin,Tom Cruise,138.0,1990s,557.0,94.0,Columbia Pictures
2051,A League of Their Own,PG,Comedy,1992,7.3,97000.0,Penny Marshall,Kim Wilson,Tom Hanks,128.0,1990s,303.0,92.0,Columbia Pictures
2052,The Bodyguard,R,Action,1992,6.3,124000.0,Mick Jackson,Lawrence Kasdan,Kevin Costner,129.0,1990s,941.0,57.0,Kasdan Pictures
2053,Scent of a Woman,R,Drama,1992,8.0,274000.0,Martin Brest,Giovanni Arpino,Al Pacino,156.0,1990s,307.0,71.0,Universal Pictures
2054,Batman Returns,PG-13,Action,1992,7.0,280000.0,Tim Burton,Bob Kane,Michael Keaton,126.0,1990s,611.0,183.0,Warner Brothers
2055,The Mighty Ducks,PG,Comedy,1992,6.6,62000.0,Stephen Herek,Steven Brill,Emilio Estevez,104.0,1990s,116.0,23.0,Avnet/Kerner Productions
2056,Aladdin,G,Animation,1992,8.0,382000.0,Ron Clements,Ron Clements,Scott Weinger,90.0,1990s,1154.0,64.0,Walt Disney
2057,Sister Act,PG,Comedy,1992,6.4,91000.0,Emile Ardolino,Paul Rudnick,Whoopi Goldberg,100.0,1990s,530.0,71.0,Touchstone Pictures
2058,Alien 3,R,Action,1992,6.5,284000.0,David Fincher,Dan O'Bannon,Sigourney Weaver,114.0,1990s,366.0,114.0,Twentieth Century Fox
2059,Death Becomes Her,PG-13,Comedy,1992,6.6,108000.0,Robert Zemeckis,Martin Donovan,Meryl Streep,104.0,1990s,341.0,126.0,Universal Pictures
2060,Far and Away,PG-13,Adventure,1992,6.6,60000.0,Ron Howard,Bob Dolman,Tom Cruise,140.0,1990s,316.0,137.0,Imagine Entertainment
2063,Under Siege,R,Action,1992,6.5,80000.0,Andrew Davis,J.F. Lawton,Steven Seagal,103.0,1990s,359.0,80.0,Warner Brothers
2064,Deep Cover,R,Action,1992,6.9,9500.0,Bill Duke,Michael Tolkin,Laurence Fishburne,107.0,1990s,38.0,18.0,Image Organization
2065,Single White Female,R,Drama,1992,6.4,34000.0,Barbet Schroeder,John Lutz,Bridget Fonda,107.0,1990s,110.0,37.0,Columbia Pictures
2066,Cool World,PG-13,Animation,1992,4.9,22000.0,Ralph Bakshi,Michael Grais,Gabriel Byrne,102.0,1990s,32.0,69.0,Bakshi Animation
2067,Glengarry Glen Ross,R,Crime,1992,7.7,98000.0,James Foley,David Mamet,Al Pacino,100.0,1990s,25.0,29.0,New Line Cinema
2068,Wayne's World,PG-13,Comedy,1992,7.0,148000.0,Penelope Spheeris,Mike Myers,Mike Myers,94.0,1990s,419.0,46.0,Paramount Pictures
2069,Army of Darkness,R,Comedy,1992,7.5,166000.0,Sam Raimi,Sam Raimi,Bruce Campbell,81.0,1990s,26.0,25.0,Dino De Laurentis Company
2070,A River Runs Through It,PG,Drama,1992,7.2,55000.0,Robert Redford,Norman Maclean,Craig Sheffer,123.0,1990s,99.0,27.0,Allied Filmmakers
2071,Twin Peaks: Fire Walk with Me,R,Drama,1992,7.3,89000.0,David Lynch,David Lynch,Sheryl Lee,134.0,1990s,10.0,23.0,New Line Cinema
2074,Universal Soldier,R,Action,1992,6.0,85000.0,Roland Emmerich,Richard Rothstein,Jean-Claude Van Damme,102.0,1990s,83.0,53.0,StudioCanal
2075,Buffy the Vampire Slayer,PG-13,Action,1992,5.7,41000.0,Fran Rubel Kuzui,Joss Whedon,Kristy Swanson,86.0,1990s,38.0,16.0,Twentieth Century Fox
2076,Sleepwalkers,R,Fantasy,1992,5.3,21000.0,Mick Garris,Stephen King,Brian Krause,91.0,1990s,70.0,34.0,Columbia Pictures
2077,Chaplin,PG-13,Biography,1992,7.5,55000.0,Richard Attenborough,David Robinson,Robert Downey Jr.,143.0,1990s,22.0,71.0,Carolco
2079,Home Alone 2: Lost in New York,PG,Adventure,1992,6.8,318000.0,Chris Columbus,John Hughes,Macaulay Culkin,120.0,1990s,822.0,64.0,Twentieth Century Fox
2080,The Hand That Rocks the Cradle,R,Drama,1992,6.6,40000.0,Curtis Hanson,Amanda Silver,Annabella Sciorra,110.0,1990s,202.0,27.0,Hollywood Pictures
2081,Newsies,PG,Drama,1992,6.9,19000.0,Kenny Ortega,Bob Tzudiker,Christian Bale,121.0,1990s,6.0,34.0,Touchwood Pacific Partners 1
2082,Malcolm X,PG-13,Biography,1992,7.7,89000.0,Spike Lee,Alex Haley,Denzel Washington,202.0,1990s,110.0,76.0,Largo International N.V.
2083,Patriot Games,R,Action,1992,6.9,106000.0,Phillip Noyce,Tom Clancy,Harrison Ford,117.0,1990s,408.0,103.0,Mace Neufeld Productions
2084,Dead Alive,R,Comedy,1992,7.5,93000.0,Peter Jackson,Stephen Sinclair,Timothy Balme,104.0,1990s,1.0,7.0,WingNut Films
2085,Poison Ivy,R,Drama,1992,5.4,18000.0,Katt Shea,Melissa Goddard,Drew Barrymore,93.0,1990s,4.0,7.0,New Line Cinema
2086,Sneakers,PG-13,Comedy,1992,7.1,54000.0,Phil Alden Robinson,Phil Alden Robinson,Robert Redford,126.0,1990s,241.0,53.0,Parkes/Lasker productions
2087,The Lawnmower Man,R,Horror,1992,5.4,34000.0,Brett Leonard,Stephen King,Jeff Fahey,108.0,1990s,74.0,23.0,Allied Vision
2088,The Player,R,Comedy,1992,7.5,56000.0,Robert Altman,Michael Tolkin,Tim Robbins,124.0,1990s,50.0,18.0,Avenue Pictures
2089,Encino Man,PG,Comedy,1992,5.8,38000.0,Les Mayfield,George Zaloom,Sean Astin,88.0,1990s,93.0,16.0,Encino Man Productions
2091,Lethal Weapon 3,R,Action,1992,6.7,160000.0,Richard Donner,Jeffrey Boam,Mel Gibson,118.0,1990s,737.0,80.0,Warner Brothers
2092,American Me,R,Biography,1992,7.2,8600.0,Edward James Olmos,Floyd Mutrux,Edward James Olmos,125.0,1990s,30.0,37.0,Hivemind
2093,El Mariachi,R,Action,1992,6.9,64000.0,Robert Rodriguez,Robert Rodriguez,Carlos Gallardo,81.0,1990s,5.0,0.0,Columbia Pictures
2094,Bitter Moon,R,Drama,1992,7.2,37000.0,Roman Polanski,Pascal Bruckner,Hugh Grant,139.0,1990s,4.0,11.0,Canal+
2095,Pet Sematary II,R,Fantasy,1992,4.9,20000.0,Mary Lambert,Richard Outten,Edward Furlong,100.0,1990s,39.0,18.0,Paramount Pictures
2098,FernGully: The Last Rainforest,G,Animation,1992,6.5,28000.0,Bill Kroyer,Jim Cox,Samantha Mathis,76.0,1990s,75.0,55.0,FAI Films
2099,HouseSitter,PG,Comedy,1992,6.1,23000.0,Frank Oz,Mark Stein,Steve Martin,102.0,1990s,217.0,60.0,Imagine Entertainment
2100,School Ties,PG-13,Drama,1992,6.9,23000.0,Robert Mandel,Dick Wolf,Brendan Fraser,106.0,1990s,34.0,41.0,Paramount Pictures
2101,Hoffa,R,Biography,1992,6.6,22000.0,Danny DeVito,David Mamet,Jack Nicholson,140.0,1990s,67.0,80.0,Twentieth Century Fox
2102,Juice,R,Action,1992,7.1,25000.0,Ernest R. Dickerson,Ernest R. Dickerson,Omar Epps,95.0,1990s,46.0,11.0,Island World
2106,3 Ninjas,PG,Action,1992,5.3,21000.0,Jon Turteltaub,Kenny Kim,Victor Wong,84.0,1990s,66.0,15.0,Touchstone Pictures
2107,Hellraiser III: Hell on Earth,R,Horror,1992,5.5,28000.0,Anthony Hickox,Peter Atkins,Terry Farrell,97.0,1990s,29.0,11.0,Fifth Avenue Entertainment
2108,Body of Evidence,R,Drama,1992,4.5,14000.0,Uli Edel,Brad Mirman,Madonna,99.0,1990s,30.0,69.0,Constantin
2109,"Honey, I Blew Up the Kid",PG,Adventure,1992,4.9,42000.0,Randal Kleiser,Stuart Gordon,Rick Moranis,89.0,1990s,134.0,92.0,Touchwood Pacific Partners 1
2110,Captain Ron,PG-13,Adventure,1992,5.8,21000.0,Thom Eberhardt,John Dwyer,Kurt Russell,100.0,1990s,52.0,55.0,Touchstone Pictures
2112,Passenger 57,R,Action,1992,5.9,46000.0,Kevin Hooks,Stewart Raffill,Wesley Snipes,84.0,1990s,101.0,34.0,Warner Brothers
2114,Children of the Corn II: the Final Sacrifice,R,Horror,1992,4.3,7900.0,David Price,A L Katz,Terence Knox,92.0,1990s,16.0,2.0,Fifth Avenue Entertainment
2116,Radio Flyer,PG-13,Drama,1992,7.0,13000.0,Richard Donner,David Mickey Evans,Lorraine Bracco,114.0,1990s,11.0,80.0,Columbia Pictures
2118,Raising Cain,R,Crime,1992,6.1,15000.0,Brian De Palma,Brian De Palma,John Lithgow,92.0,1990s,85.0,27.0,Pacific Western
2119,Orlando,PG-13,Biography,1992,7.2,15000.0,Sally Potter,Virginia Woolf,Tilda Swinton,94.0,1990s,12.0,9.0,Adventure Pictures
2120,Gladiator,R,Action,1992,6.5,8500.0,Rowdy Herrington,Djordje Milicevic,James Marshall,101.0,1990s,21.0,46.0,Columbia Pictures
2121,Split Second,R,Action,1992,6.2,13000.0,Tony Maylam,Gary Scott Thompson,Rutger Hauer,90.0,1990s,12.0,16.0,Challenge Film Corporation
2122,Tom and Jerry: The Movie,G,Animation,1992,5.4,10000.0,Phil Roman,Dennis Marks,Richard Kind,84.0,1990s,8.0,18.0,Turner Pictures (I)
2123,Toys,PG-13,Adventure,1992,5.1,31000.0,Barry Levinson,Valerie Curtin,Robin Williams,118.0,1990s,53.0,98.0,Baltimore Pictures
2125,1492: Conquest of Paradise,PG-13,Adventure,1992,6.5,29000.0,Ridley Scott,Rose Bosch,Gérard Depardieu,154.0,1990s,16.0,108.0,Gaumont
2126,Pure Country,PG,Drama,1992,7.0,4100.0,Christopher Cain,Rex McGee,George Strait,112.0,1990s,35.0,23.0,Warner Brothers
2127,Boomerang,R,Comedy,1992,5.5,27000.0,Reginald Hudlin,Barry W. Blaustein,Eddie Murphy,117.0,1990s,300.0,96.0,Paramount Pictures
2128,The Power of One,PG-13,Drama,1992,7.2,9500.0,John G. Avildsen,Bryce Courtenay,Stephen Dorff,127.0,1990s,6.0,41.0,Alcor Films
2131,Medicine Man,PG-13,Adventure,1992,6.0,22000.0,John McTiernan,Tom Schulman,Sean Connery,106.0,1990s,104.0,92.0,Hollywood Pictures
2132,Honeymoon in Vegas,PG-13,Comedy,1992,5.8,17000.0,Andrew Bergman,Andrew Bergman,James Caan,96.0,1990s,81.0,57.0,Castle Rock Entertainment
2133,Thunderheart,R,Crime,1992,6.8,15000.0,Michael Apted,John Fusco,Val Kilmer,119.0,1990s,52.0,34.0,TriStar Pictures
2134,Stop! Or My Mom Will Shoot,PG-13,Action,1992,4.3,39000.0,Roger Spottiswoode,Blake Snyder,Sylvester Stallone,87.0,1990s,162.0,103.0,Northern Lights Entertainment
2135,Innocent Blood,R,Action,1992,6.2,9500.0,John Landis,Michael Wolk,Anne Parillaud,112.0,1990s,11.0,46.0,Warner Brothers
2137,Lorenzo's Oil,PG-13,Biography,1992,7.3,21000.0,George Miller,George Miller,Nick Nolte,129.0,1990s,17.0,69.0,Universal Pictures
2138,Final Analysis,R,Drama,1992,5.9,14000.0,Phil Joanou,Robert Berger,Richard Gere,124.0,1990s,65.0,73.0,Warner Brothers
2140,Stay Tuned,PG,Adventure,1992,6.2,11000.0,Peter Hyams,Tom S. Parker,John Ritter,88.0,1990s,25.0,57.0,Morgan Creek Entertainment
2141,Consenting Adults,R,Crime,1992,5.7,7000.0,Alan J. Pakula,Matthew Chapman,Kevin Kline,99.0,1990s,49.0,41.0,Hollywood Pictures
2142,Fortress,R,Action,1992,5.9,28000.0,Stuart Gordon,Troy Neighbors,Christopher Lambert,95.0,1990s,15.0,18.0,Davis Entertainment
2143,Once Upon a Crime...,PG,Comedy,1992,5.9,4100.0,Eugene Levy,Rodolfo Sonego,John Candy,94.0,1990s,20.0,41.0,Ascot Film
2144,Mom and Dad Save the World,PG,Adventure,1992,5.4,4400.0,Greg Beeman,Chris Matheson,Teri Garr,88.0,1990s,5.0,32.0,HBO
2146,Jennifer 8,R,Crime,1992,6.3,16000.0,Bruce Robinson,Bruce Robinson,Andy Garcia,124.0,1990s,26.0,46.0,Paramount Pictures
2148,Memoirs of an Invisible Man,PG-13,Comedy,1992,6.0,23000.0,John Carpenter,H.F. Saint,Chevy Chase,99.0,1990s,33.0,92.0,Warner Brothers
2149,Peter's Friends,R,Comedy,1992,7.0,11000.0,Kenneth Branagh,Rita Rudner,Hugh Laurie,101.0,1990s,9.0,11.0,BBC
2150,Freejack,R,Action,1992,5.4,15000.0,Geoff Murphy,Robert Sheckley,Emilio Estevez,110.0,1990s,39.0,69.0,Morgan Creek Entertainment
2151,Como agua para chocolate,R,Drama,1992,7.1,17000.0,Alfonso Arau,Laura Esquivel,Marco Leonardi,105.0,1990s,50.0,5.0,Consejo Nacional para la Cultura y las Artes (CONACULTA)
2153,Noises Off...,PG-13,Comedy,1992,7.5,11000.0,Peter Bogdanovich,Michael Frayn,Michael Caine,101.0,1990s,5.0,27.0,Touchstone Pictures
2154,Class Act,PG-13,Comedy,1992,6.1,7100.0,Randall Miller,Michael Swerdlick,Christopher Reid,98.0,1990s,30.0,17.0,Warner Brothers
2155,Diggstown,R,Drama,1992,7.0,7000.0,Michael Ritchie,Leonard Wise,James Woods,98.0,1990s,11.0,39.0,Metro-Goldwyn-Mayer (MGM)
2158,Kuffs,PG-13,Action,1992,5.9,10000.0,Bruce A. Evans,Bruce A. Evans,Christian Slater,102.0,1990s,48.0,23.0,Dino de Laurentiis Communications
2160,Mo' Money,R,Action,1992,5.5,7200.0,Peter MacDonald,Damon Wayans,Damon Wayans,89.0,1990s,92.0,23.0,Columbia Pictures
2161,Husbands and Wives,R,Comedy,1992,7.5,28000.0,Woody Allen,Woody Allen,Woody Allen,108.0,1990s,24.0,46.0,Jack Rollins & Charles H. Joffe Productions
2162,Trespass,R,Action,1992,6.3,10000.0,Walter Hill,Bob Gale,Bill Paxton,101.0,1990s,30.0,32.0,Universal Pictures
2164,Rapid Fire,R,Action,1992,6.3,8600.0,Dwight H. Little,Cindy Cirile,Brandon Lee,95.0,1990s,33.0,23.0,Twentieth Century Fox
2165,Wind,PG-13,Action,1992,6.4,2600.0,Carroll Ballard,Jeff Benjamin,Matthew Modine,126.0,1990s,13.0,66.0,American Zoetrope
2166,Hero,PG-13,Comedy,1992,6.5,22000.0,Stephen Frears,Laura Ziskin,Dustin Hoffman,119.0,1990s,45.0,96.0,Columbia Pictures
2167,South Central,R,Crime,1992,6.8,5400.0,Stephen Milburn Anderson,Stephen Milburn Anderson,Glenn Plummer,98.0,1990s,3.0,9.0,Enchantment Films Inc.
2168,The Muppet Christmas Carol,G,Comedy,1992,7.7,51000.0,Brian Henson,Charles Dickens,Michael Caine,85.0,1990s,75.0,27.0,Walt Disney
2171,Mr. Baseball,PG-13,Comedy,1992,6.0,10000.0,Fred Schepisi,Theo Pelletier,Tom Selleck,108.0,1990s,48.0,92.0,DENTSU Music And Entertainment
2174,CrissCross,R,Crime,1992,5.8,1800.0,Chris Menges,Scott Sommer,Goldie Hawn,100.0,1990s,7.0,32.0,Hawn / Sylbert Movie Company
2175,Waterland,R,Drama,1992,6.6,2100.0,Stephen Gyllenhaal,Graham Swift,Jeremy Irons,95.0,1990s,3.0,23.0,British Screen Productions
2176,The Distinguished Gentleman,R,Comedy,1992,5.9,15000.0,Jonathan Lynn,Marty Kaplan,Eddie Murphy,112.0,1990s,107.0,114.0,Hollywood Pictures
2177,White Sands,R,Action,1992,6.0,7300.0,Roger Donaldson,Daniel Pyne,Willem Dafoe,101.0,1990s,21.0,50.0,Morgan Creek Entertainment
2180,Knight Moves,R,Crime,1992,6.1,8100.0,Carl Schenkel,Brad Mirman,Christopher Lambert,116.0,1990s,2.0,21.0,Cineplex Odeon Films
2182,A Midnight Clear,R,Drama,1992,7.2,8500.0,Keith Gordon,William Wharton,Peter Berg,108.0,1990s,3.0,11.0,A&M Films
2187,A Stranger Among Us,PG-13,Crime,1992,5.6,3600.0,Sidney Lumet,Robert J. Avrech,Melanie Griffith,110.0,1990s,28.0,41.0,Hollywood Pictures
2188,Where the Day Takes You,R,Crime,1992,6.6,3200.0,Marc Rocco,Michael Hitchcock,Dermot Mulroney,105.0,1990s,1.0,7.0,Cinetel Films
2189,Passion Fish,R,Drama,1992,7.4,5200.0,John Sayles,John Sayles,Mary McDonnell,135.0,1990s,11.0,8.0,Atchafalaya
2192,American Heart,R,Crime,1992,6.7,3200.0,Martin Bell,Peter Silverman,Jeff Bridges,113.0,1990s,1.0,23.0,Avenue Pictures
2195,Christopher Columbus: The Discovery,PG-13,Adventure,1992,4.5,2800.0,John Glen,Mario Puzo,Marlon Brando,120.0,1990s,19.0,92.0,Christopher Columbus Productions
2199,The Public Eye,R,Crime,1992,6.5,3500.0,Howard Franklin,Howard Franklin,Joe Pesci,99.0,1990s,7.0,34.0,Universal Pictures
2200,Article 99,R,Comedy,1992,6.1,3100.0,Howard Deutch,Ron Cutler,Ray Liotta,100.0,1990s,15.0,41.0,Orion Pictures
2201,The Mambo Kings,R,Drama,1992,6.4,5200.0,Arne Glimcher,Oscar Hijuelos,Armand Assante,104.0,1990s,15.0,35.0,Alcor Films
2204,City of Joy,PG-13,Drama,1992,6.5,4900.0,Roland Joffé,Dominique Lapierre,Patrick Swayze,132.0,1990s,34.0,62.0,Allied Filmmakers
2207,Love Field,PG-13,Drama,1992,6.6,3800.0,Jonathan Kaplan,Don Roos,Michelle Pfeiffer,105.0,1990s,2.0,41.0,Orion Pictures
2208,Mr. Saturday Night,R,Comedy,1992,5.9,4500.0,Billy Crystal,Billy Crystal,Billy Crystal,119.0,1990s,31.0,98.0,Castle Rock Entertainment
2209,Twin Dragons,PG-13,Action,1992,6.5,11000.0,Ringo Lam,Barry Wong,Jackie Chan,104.0,1990s,19.0,23.0,Golden Way Films Ltd.
2211,The Living End,Unrated,Comedy,1992,6.5,2900.0,Gregg Araki,Gregg Araki,Mike Dytri,81.0,1990s,2.0,0.0,Desperate Pictures
2214,Folks!,PG-13,Comedy,1992,5.7,2500.0,Ted Kotcheff,Robert Klane,Tom Selleck,107.0,1990s,14.0,34.0,Penta
2216,Night and the City,R,Comedy,1992,5.8,4600.0,Irwin Winkler,Gerald Kersh,Robert De Niro,105.0,1990s,14.0,46.0,Penta
2217,Whispers in the Dark,R,Drama,1992,5.6,2000.0,Christopher Crowe,Christopher Crowe,Annabella Sciorra,103.0,1990s,25.0,41.0,Paramount Pictures
2221,Man Trouble,PG-13,Comedy,1992,4.7,3000.0,Bob Rafelson,Carole Eastman,Jack Nicholson,100.0,1990s,9.0,69.0,Penta
2230,Ruby Cairo,PG-13,Mystery,1992,5.0,2100.0,Graeme Clifford,Robert Dillon,Andie MacDowell,90.0,1990s,1.0,55.0,Majestic Films International
2231,The Waterdance,R,Drama,1992,6.8,2600.0,Neal Jimenez,Neal Jimenez,Eric Stoltz,106.0,1990s,4.0,6.0,No Frills Film Production
2242,The Gun in Betty Lou's Handbag,PG-13,Comedy,1992,5.1,1600.0,Allan Moyle,Grace Cary Bickley,Penelope Ann Miller,89.0,1990s,9.0,30.0,In The Bag Productions
2243,Tombstone,R,Action,1993,7.8,132000.0,George P. Cosmatos,Kevin Jarre,Kurt Russell,130.0,1990s,125.0,56.0,Hollywood Pictures
2245,Jurassic Park,PG-13,Action,1993,8.1,894000.0,Steven Spielberg,Michael Crichton,Sam Neill,127.0,1990s,2295.0,140.0,Universal Pictures
2246,Dazed and Confused,R,Comedy,1993,7.6,171000.0,Richard Linklater,Richard Linklater,Jason London,102.0,1990s,18.0,15.0,Gramercy Pictures (I)
2247,Schindler's List,R,Biography,1993,8.9,1200000.0,Steven Spielberg,Thomas Keneally,Liam Neeson,195.0,1990s,715.0,49.0,Universal Pictures
2248,True Romance,R,Crime,1993,7.9,212000.0,Tony Scott,Quentin Tarantino,Christian Slater,119.0,1990s,29.0,29.0,Morgan Creek Entertainment
2250,Robin Hood: Men in Tights,PG-13,Adventure,1993,6.7,119000.0,Mel Brooks,J.D. Shapiro,Cary Elwes,104.0,1990s,79.0,44.0,Brooksfilms
2251,A Bronx Tale,R,Crime,1993,7.8,132000.0,Robert De Niro,Chazz Palminteri,Robert De Niro,121.0,1990s,38.0,49.0,Price Entertainment
2252,What's Eating Gilbert Grape,PG-13,Drama,1993,7.7,221000.0,Lasse Hallström,Peter Hedges,Johnny Depp,118.0,1990s,22.0,24.0,Paramount Pictures
2253,Hocus Pocus,PG,Comedy,1993,6.9,106000.0,Kenny Ortega,David Kirschner,Bette Midler,96.0,1990s,100.0,62.0,Walt Disney
2254,Carlito's Way,R,Crime,1993,7.9,206000.0,Brian De Palma,Edwin Torres,Al Pacino,144.0,1990s,142.0,67.0,Universal Pictures
2255,Mrs. Doubtfire,PG-13,Comedy,1993,7.0,252000.0,Chris Columbus,Anne Fine,Robin Williams,125.0,1990s,980.0,56.0,Twentieth Century Fox
2256,The Fugitive,PG-13,Action,1993,7.8,275000.0,Andrew Davis,Jeb Stuart,Harrison Ford,130.0,1990s,819.0,98.0,Warner Brothers
2257,Demolition Man,R,Action,1993,6.7,163000.0,Marco Brambilla,Peter M. Lenkov,Sylvester Stallone,115.0,1990s,129.0,127.0,Warner Brothers
2259,Falling Down,R,Action,1993,7.6,177000.0,Joel Schumacher,Ebbe Roe Smith,Michael Douglas,113.0,1990s,91.0,56.0,Alcor Films
2260,The Pelican Brief,PG-13,Crime,1993,6.6,81000.0,Alan J. Pakula,John Grisham,Julia Roberts,141.0,1990s,433.0,100.0,Warner Brothers
2261,The Firm,R,Drama,1993,6.8,124000.0,Sydney Pollack,John Grisham,Tom Cruise,154.0,1990s,600.0,93.0,Davis Entertainment
2262,Last Action Hero,PG-13,Action,1993,6.4,141000.0,John McTiernan,Zak Penn,Arnold Schwarzenegger,130.0,1990s,305.0,189.0,Columbia Pictures
2263,Sister Act 2: Back in the Habit,PG,Comedy,1993,5.6,50000.0,Bill Duke,James Orr,Whoopi Goldberg,107.0,1990s,127.0,84.0,Touchstone Pictures
2264,Groundhog Day,PG,Comedy,1993,8.0,589000.0,Harold Ramis,Danny Rubin,Bill Murray,101.0,1990s,158.0,32.0,Columbia Pictures
2265,Philadelphia,PG-13,Drama,1993,7.7,229000.0,Jonathan Demme,Ron Nyswaner,Tom Hanks,125.0,1990s,459.0,58.0,TriStar Pictures
2266,Super Mario Bros.,PG,Adventure,1993,4.1,50000.0,Annabel Jankel,Parker Bennett,Bob Hoskins,104.0,1990s,46.0,107.0,Allied Filmmakers
2267,Sleepless in Seattle,PG,Comedy,1993,6.8,165000.0,Nora Ephron,Jeff Arch,Tom Hanks,105.0,1990s,506.0,47.0,TriStar Pictures
2268,Cliffhanger,R,Action,1993,6.4,122000.0,Renny Harlin,John Long,Sylvester Stallone,113.0,1990s,566.0,155.0,Carolco
2269,The Piano,R,Drama,1993,7.6,81000.0,Jane Campion,Jane Campion,Holly Hunter,121.0,1990s,89.0,16.0,CiBy 2000
2270,The Nightmare Before Christmas,PG,Animation,1993,8.0,306000.0,Henry Selick,Tim Burton,Danny Elfman,76.0,1990s,203.0,40.0,Touchstone Pictures
2271,Rookie of the Year,PG,Comedy,1993,6.1,26000.0,Daniel Stern,Sam Harper,Thomas Ian Nicholas,103.0,1990s,125.0,22.0,Twentieth Century Fox
